ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
INDXA.MC,bme_growth,,INDXA,ES0105702007,"INDEXA CAPITAL GROUP, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
KOM.MC,bme_growth,,KOM,ES0105425005,"PLASTICOS COMPUESTOS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
LAB.MC,bme_growth,,LAB,ES0105638003,"LABIANA HEALTH, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
LLN.MC,bme_growth,,LLN,ES0105089009,"LLEIDANETWORKS SERVEIS TELEMATICS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
LLYC.MC,bme_growth,,LLYC,ES0105591004,"LLORENTE Y CUENCA, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
MAKS.MC,bme_growth,,MAKS,ES0105463006,"MAKING SCIENCE GROUP, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
NAT.MC,bme_growth,,NAT,ES0171613005,"NATAC NATURAL INGREDIENTS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
NBI.MC,bme_growth,,NBI,ES0105062022,"NBI BEARINGS EUROPE, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
NZI.MC,bme_growth,,NZI,ES0105804001,"NZI TECHNICAL PROTECTION, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
OPTS.MC,bme_growth,,OPTS,ES0105818019,"OPTARE SOLUTIONS, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
PANG.MC,bme_growth,,PANG,ES0105221008,"PANGAEA ONCOLOGY, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
