ticker
AEIS
AMBA
APOG
ASTE
ATNI
AVNS
AX
BGFV
BJRI
CATO
CENT
CENTA
CHUY
CLDT
CORE
CRWS
CTBI
CULP
DGII
DIOD
DORM
ECHO
EFSC
EGBN
ENSG
ESSA
FBNC
FMBH
FORM
FWRD
GKOS
GOLF
GPRE
GRC
HCSG
HOPE
HTLF
INDB
JBSS
KELYA
KFRC
LAKE
LANC
LBAI
LCII
LQDT
MATX
MBWM
MGNX
MLKN
MMSI
MNRO
MOFG
MTRN
NATR
NBTB
NFBK
NTGR
OBNK
OCFC
OFG
OPFI
PATK
PFIS
PLAB
PLXS
POWL
PRDO
RCII
RDVT
RICK
RNST
SASR
SBCF
SCVL
SHBI
SIGA
SMMF
SPTN
STBA
STRS
SUPN
TCBK
TCMD
THRY
TILE
TOWN
TRMK
TRNO
TWIN
UCBI
UFCS
UNTY
UPLD
UVSP
VBTX
VECO
VIAV
VRTS
WASH
WLFC
WNC
WRLD
WSBC
WTBA
XPOF
YORW
