ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
BSH.WA,newconnect,,BSH,PLBRSLH00012,Bridge Solutions Hub S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BSN.WA,newconnect,,BSN,PLBRNSN00016,Brainscan SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BTC.WA,newconnect,,BTC,PLDMNMN00016,BTC Studios SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BTF.WA,newconnect,,BTF,PLVKMTK00015,BTCS S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
BTK.WA,newconnect,,BTK,PLBZTKN00013,BizTech Konsulting SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CAI.WA,newconnect,,CAI,PLHOTB000011,CARLSON INVESTMENTS SE,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CBD.WA,newconnect,,CBD,PLBLOCM00013,Cannabis Poland SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CCR.WA,newconnect,,CCR,PLCNSTC00013,Constance Care SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CCS.WA,newconnect,,CCS,PLCCS0000012,Cyfrowe Centrum Serwisowe SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CFG.WA,newconnect,,CFG,PLCRFRG00016,Creativeforge Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CFS.WA,newconnect,,CFS,PLCFBPS00019,Centrum Finansowe SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CHP.WA,newconnect,,CHP,PLCHRPK00018,Cherrypick Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CLA.WA,newconnect,,CLA,PLCNSLB00012,CONSOLE LABS Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CMC.WA,newconnect,,CMC,PLCOMEC00016,COMECO S.A. Class D,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CMI.WA,newconnect,,CMI,PLCMINT00013,CM International SA Class BC,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
COS.WA,newconnect,,COS,PLVBN0000015,Cosma S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CRB.WA,newconnect,,CRB,PLCRBST00016,Carbon Studio S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CRC.WA,newconnect,,CRC,PLCRPCP00034,CARPATHIA CAPITAL S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CST.WA,newconnect,,CST,PLCSTR000014,Cstore S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CTE.WA,newconnect,,CTE,PLLRPSP00015,CTE Group SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CTF.WA,newconnect,,CTF,PLSTRGM00014,Centurion Finance ASI SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
CWA.WA,newconnect,,CWA,PLCNSLW00018,Consoleway SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DDI.WA,newconnect,,DDI,PLIFN4L00018,Draw Distance SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DFH.WA,newconnect,,DFH,PLKLBTR00014,Defence.Hub S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DGS.WA,newconnect,,DGS,PLDMLGM00014,Demolish Games S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DIV.WA,newconnect,,DIV,PLGTRNT00010,DI VOLIO S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DKR.WA,newconnect,,DKR,PLDKTRA00013,Dektra S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DNS.WA,newconnect,,DNS,PLDANKS00014,DANKS Europejskie Centrum Doradztwa Podatkowego S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DPG.WA,newconnect,,DPG,PLDRPGM00048,Dark Point Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DRF.WA,newconnect,,DRF,PLDRD2400010,Dr. Finance SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DRG.WA,newconnect,,DRG,PLDRGGM00013,Drageus Games S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DRZ.WA,newconnect,,DRZ,PLDRZCZ00030,Do Rzeczy S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DTX.WA,newconnect,,DTX,PLFTPRF00016,Ditix S.A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
DUA.WA,newconnect,,DUA,PLDLITY00010,Duality SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EBX.WA,newconnect,,EBX,PLEKOBX00018,Ekobox SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ECC.WA,newconnect,,ECC,PLECCGM00012,ECC Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ECK.WA,newconnect,,ECK,PLERSNK00016,Eurosnack S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ECL.WA,newconnect,,ECL,PLESCLL00010,ECL S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ECN.WA,newconnect,,ECN,PLACRTS00018,Ecnology Group S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ECT.WA,newconnect,,ECT,PLEC5TH00024,Eco5tech SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EDL.WA,newconnect,,EDL,PLEDSON00018,EDITEL Polska S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EEE.WA,newconnect,,EEE,PLBBCLS00017,Ekipa Holding Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EGH.WA,newconnect,,EGH,PLEKPLG00019,Ekopol Gornoslaski Holding S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EGY.WA,newconnect,,EGY,PLVGUAR00011,ENERGY S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EKE.WA,newconnect,,EKE,PLDNTMD00012,EKO-OZE SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EKS.WA,newconnect,,EKS,PLEKOSK00019,e-Kiosk S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ELQ.WA,newconnect,,ELQ,PLIPOSA00010,ELQ Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EMP.WA,newconnect,,EMP,PLEMPCT00017,Emplocity SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EMS.WA,newconnect,,EMS,PLTRMPR00017,Enimso Europe SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
END.WA,newconnect,,END,PLHDRGM00011,Eneida Games S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EPR.WA,newconnect,,EPR,PLPRIPK00018,EKOPARK S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ETX.WA,newconnect,,ETX,PLEURTX00012,Euro-Tax.pl S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EUV.WA,newconnect,,EUV,PLEONTW00016,EUVIC S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EXA.WA,newconnect,,EXA,PLEXMBL00010,Examobile SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EXC.WA,newconnect,,EXC,PLEXCLN00016,EXCELLENCE S.A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
EXM.WA,newconnect,,EXM,PLEXIM000013,e-Xim IT Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
F51.WA,newconnect,,F51,PLFRMGR00015,Farm 51 Group SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FAR.WA,newconnect,,FAR,PLFRMIN00010,Farm Innovations SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FEM.WA,newconnect,,FEM,PLSMSKH00019,Femion Technology SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FFP.WA,newconnect,,FFP,PLGTRMP00010,FARMY FOTOWOLTAIKI POLSKA S.A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FHD.WA,newconnect,,FHD,PLFHDOM00010,Fundusz Hipoteczny DOM SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FIB.WA,newconnect,,FIB,PLDGNET00012,FIBO SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FIG.WA,newconnect,,FIG,PLGPPIK00011,FIGENE CAPITAL S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FLG.WA,newconnect,,FLG,PLEENRG00014,Falcon 1 Green World Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FOR.WA,newconnect,,FOR,PLFRENT00014,Forever Entertainment SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FOX.WA,newconnect,,FOX,PLSPFXG00014,Space Fox Games SA Class A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FPO.WA,newconnect,,FPO,PLFRPST00019,Forposta SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FRB.WA,newconnect,,FRB,PLBETMX00013,Forbuild SA Class C,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FRM.WA,newconnect,,FRM,PLFRMND00011,FREEMIND S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FRW.WA,newconnect,,FRW,PLFRZNW00013,Frozen Way S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FTH.WA,newconnect,,FTH,PLJRSDB00015,Fintech SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FTL.WA,newconnect,,FTL,PLTLCMD00018,FOOTHILLS S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
FVE.WA,newconnect,,FVE,PLINVFM00012,Foto Volt Eko Energia SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GAL.WA,newconnect,,GAL,PLGALVO00017,Galvo SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GAR.WA,newconnect,,GAR,PLABNET00019,Garin AI SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GDC.WA,newconnect,,GDC,PLINSTC00010,Gamedust S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GDS.WA,newconnect,,GDS,PLGDVS000012,G-DEVS Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GEN.WA,newconnect,,GEN,PLGNOMD00024,Genomed S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GHT.WA,newconnect,,GHT,PLGMHTS00015,Gamehunters SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GHY.WA,newconnect,,GHY,PLTLVPL00014,Global Hydrogen Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GKS.WA,newconnect,,GKS,PLGKS0000016,GKS GieKSa Katowice SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GME.WA,newconnect,,GME,PLGRMID00019,Gremi Media SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GMV.WA,newconnect,,GMV,PLGMV0000016,Gamivo SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GMZ.WA,newconnect,,GMZ,PLINFSC00019,Grupa Modne Zakupy S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GOL.WA,newconnect,,GOL,PLGOLAB00019,Golab SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GRC.WA,newconnect,,GRC,PLRCKL000010,Group Recykl SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GRL.WA,newconnect,,GRL,PLGRNLS00027,Green Lanes SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GRM.WA,newconnect,,GRM,PLGRMPC00016,GREMPCO S.A,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GRZ.WA,newconnect,,GRZ,PLGRNZB00015,Green Zebras SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GTF.WA,newconnect,,GTF,PLGOTFI00016,Go24.pl SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GTS.WA,newconnect,,GTS,PLGEOTR00010,Geotrans SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
GX1.WA,newconnect,,GX1,PLGENXN00013,genXone SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HEN.WA,newconnect,,HEN,PLINNGN00015,HyEnergy Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HER.WA,newconnect,,HER,PLADVGP00011,Highlander Enterprise S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HOR.WA,newconnect,,HOR,PLHRTIC00014,Hortico SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HPE.WA,newconnect,,HPE,PLCRBON00018,hiPower Energy spoyka akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HPM.WA,newconnect,,HPM,PLHPRMN00037,HIPROMINE S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HPS.WA,newconnect,,HPS,PLHDRAP00017,Hydrapres S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HRC.WA,newconnect,,HRC,PLGRHRC00012,Grupa HRC Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HRT.WA,newconnect,,HRT,PLHRTIM00013,Hurtimex Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
HUB.WA,newconnect,,HUB,PLBRTZM00010,Hub.Tech SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IBC.WA,newconnect,,IBC,PLIBCPL00018,IBC Polska F&P SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ICG.WA,newconnect,,ICG,PLDGTAV00013,ICE CODE GAMES SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IDH.WA,newconnect,,IDH,PLICI0000010,IDH DEVELOPMENT S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IFA.WA,newconnect,,IFA,PLINFRA00015,GENERATIONIS.AI S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IFL.WA,newconnect,,IFL,PLINTFL00042,Internetowy Fundusz Leasingowy S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IGT.WA,newconnect,,IGT,PLIGRTR00014,Igoria Trade SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IMG.WA,newconnect,,IMG,PLIMRGM00010,TRUSTBTC S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IMR.WA,newconnect,,IMR,PLTLPKA00010,Intermarum SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
INM.WA,newconnect,,INM,PLCDE0000010,InventionMed SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
INS.WA,newconnect,,INS,PLINDOS00035,Indos SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
INT.WA,newconnect,,INT,PLINTNT00015,Internity S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IPW.WA,newconnect,,IPW,PLIMGPW00013,Image Power S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
ISD.WA,newconnect,,ISD,PLINSPR00016,Inside Park SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IVE.WA,newconnect,,IVE,PLIVSTK00016,Investeko SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IVO.WA,newconnect,,IVO,PLA295700027,Incuvo S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
IWS.WA,newconnect,,IWS,PLA319800019,Iron Wolf Studio S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
JJB.WA,newconnect,,JJB,PLJJBEE00028,Jujubee S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
JRC.WA,newconnect,,JRC,PLPYLON00015,JRC Group Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
K2P.WA,newconnect,,K2P,PLKL2PL00014,Kool2Play Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KBJ.WA,newconnect,,KBJ,PLKBJ0000016,KBJ SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KLE.WA,newconnect,,KLE,PLMRTIN00011,GRUPA KLEPSYDRA Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KLK.WA,newconnect,,KLK,PLKLJKW00024,Kolejkowo SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KLN.WA,newconnect,,KLN,PLKLON000010,Klon SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KMB.WA,newconnect,,KMB,PLKMBKN00010,Kombinat Konopny SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
